PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
06pyN,r1b2rk1/pp5p/2p1pqpQ/2np3N/2P5/3B4/P4PPP/1R2R1K1 b - - 7 20,g6h5 h6h7,827,86,-1500,2404,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/LAHbywY0/black#40,
06q6Y,7Q/p2P4/5rk1/5q1p/8/2P5/P4PPP/3R2K1 w - - 2 34,d7d8q f5f2 g1h1 f2f1 d1f1 f6f1,840,81,100,105,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/ajHxHon0#67,
06q9g,r2b1rk1/2qn1ppp/2p5/1pPp1N2/1P1Pp1QP/4P3/5PPN/R4RK1 b - - 2 23,a8a1 g4g7,1033,77,98,682,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/ZGwY8tOp/black#46,
06qEz,6k1/p3qppp/1p2p3/1N6/P1r1n3/3QP1P1/5PKP/R7 b - - 1 24,e7b7 d3d8,461,106,97,722,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/oyEo6Mt3/black#48,
06qup,1n1r3r/1Qbk1ppp/P1p1pn2/7q/1P6/2N5/2PPNPPP/R1B2RK1 w - - 1 18,a6a7 h5h2,875,98,93,840,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/dps0OhxT#35,Scandinavian_Defense Scandinavian_Defense_Main_Line
06qyD,6k1/pR5p/1bp2Kp1/4Pp2/8/2P5/PPr4P/8 b - - 4 35,c2b2 b7b8 b6d8 b8d8,1389,78,31,105,endgame mate mateIn2 short,https://lichess.org/24EcYaK4/black#70,
06r2x,3rr1k1/pp3p2/5PB1/8/6nq/1PP3R1/2Q3PP/5RK1 w - - 1 29,g6f5 h4h2,662,82,100,982,mate mateIn1 middlegame oneMove,https://lichess.org/LMGDkUMq#57,
06r8w,2r2nk1/pp3ppp/5b2/1q1Pp1NQ/1Pr1P3/P5P1/6BP/R4R1K b - - 8 24,f6g5 h5f7 g8h8 f7f8 c8f8 f1f8,1022,79,93,924,backRankMate deflection long mate mateIn3 middlegame,https://lichess.org/8zyDSTIV/black#48,
06rHV,1k1r4/1pp1p3/6p1/1N6/5Pp1/P4n2/1PP1K2R/3R4 b - - 0 23,d8d1 h2h8 d1d8 h8d8,995,86,95,2638,endgame mate mateIn2 short,https://lichess.org/D6sevKno/black#46,
06rUI,8/1p3p1k/5Pp1/6rp/7P/8/PPP5/1K2R3 w - - 1 33,e1e7 g5g1 e7e1 g1e1,468,102,87,1106,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/MinCTMil#65,
06reC,8/6p1/5k1p/8/4RK1P/3r2P1/5P2/8 w - - 0 38,g3g4 g7g5 h4g5 h6g5,1085,79,89,81,endgame mate mateIn2 rookEndgame short,https://lichess.org/8uE62ECG#75,
06rvM,3K4/2R5/3Pk3/8/8/6r1/6P1/8 w - - 2 54,d6d7 g3g8,1181,76,92,1866,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/Qm1qQDfk#107,
06rx1,5q1k/pp4rp/2p4Q/7R/2P1P3/2N5/PPP3PP/7K w - - 0 29,h2h3 f8f1 h1h2 f1g2,857,81,82,191,endgame mate mateIn2 short,https://lichess.org/aGDJ2ZmU#57,
06s2W,r2qkb1r/2p1nppp/p2p4/1p2N3/4P1b1/1B6/PPPP2PP/RNBQ1RK1 b kq - 0 9,g4d1 b3f7,1273,77,81,286,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/dlSLxgju/black#18,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
06sDc,5r1k/7p/5qp1/3Q4/P2Pp3/8/1r3PPP/R4RK1 w - - 1 28,a1a2 f6f2 f1f2 b2b1 f2f1 b1f1,1392,75,92,1408,endgame long mate mateIn3 sacrifice,https://lichess.org/J0otKMPT#55,
06sEc,r1q1k1r1/1b3p1p/p1nPpQp1/3pN3/2pP4/8/P4PPP/R1B2RK1 b q - 1 20,c6e5 f6e7,1117,76,95,296,mate mateIn1 middlegame oneMove,https://lichess.org/BQkiIOLg/black#40,
06sGP,1br2rk1/ppq2ppp/2n1p3/6N1/3P2b1/3QPN2/PP2B1PP/R4RK1 b - - 6 15,g4f3 d3h7,949,77,100,103,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/ZgZsnY1K/black#30,Caro-Kann_Defense Caro-Kann_Defense_Panov_Attack
06sK0,4r1kR/8/8/pp3K2/1p1r4/8/P2n1P2/7R b - - 1 41,g8f7 h1h7,1033,85,93,1455,endgame mate mateIn1 oneMove,https://lichess.org/JiLD47qv/black#82,
06sVs,r1bq2rk/1p1n1pRn/p2p1b1B/2pPpN2/2P1P1Q1/2NB4/PP3PPP/R5K1 b - - 0 16,f6g7 h6g7 g8g7 g4g7,1088,78,89,2329,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/Qtt8dLsm/black#32,French_Defense French_Defense_Knight_Variation
06scC,8/pb1R2p1/7p/1qp1p3/6Q1/3R4/1P3kPP/7K w - - 10 41,g4d1 b7g2,1151,77,79,192,endgame mate mateIn1 oneMove,https://lichess.org/PRct9Noi#81,
06scz,r1r3k1/1b3Rp1/1p1N3p/4P3/pPp3nq/P1QB3P/6P1/4R1K1 w - - 0 34,d3f5 h4f2 g1h1 f2g2,1284,75,100,1767,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/c3ireaLK#67,
06sek,3rr1k1/pppb1ppp/8/8/4p2N/2BP3P/PPP2PP1/R4KR1 w - - 0 19,d3e4 d7b5 f1e1 e8e4,1118,87,94,3821,intermezzo mate mateIn2 middlegame short,https://lichess.org/7lKh1a6r#37,Russian_Game Russian_Game_Other_variations
